run#	day	points nbr	morning	evening forseen	evening actual
14	6	40	06:19	17:50	17:49                                                                                                                                                                                                                                       
14	7	45	06:16	17:51	17:43                                                                                                                                                                                                                                       
15	1	46	06:22	17:53	17:52                                                                                                                                                                                                                                       
15	2	41	06:10	17:55	17:45                                                                                                                                                                                                                                       
15	3	45	06:16	17:53	17:43                                                                                                                                                                                                                                       
15	4	44	06:19	17:52	17:51                                                                                                                                                                                                                                       
15	5	42	06:12	17:48	17:42                                                                                                                                                                                                                                       
15	6	45	06:16	17:52	17:51                                                                                                                                                                                                                                       
15	7	45	06:19	17:50	17:44                                                                                                                                                                                                                                       
16	1	42	06:18	17:52	17:39                                                                                                                                                                                                                                       
16	2	46	06:18	17:54	17:52                                                                                                                                                                                                                                       
16	3	45	06:15	17:52	17:51                                                                                                                                                                                                                                       
16	4	44	06:18	17:52	17:42                                                                                                                                                                                                                                       
16	5	36	06:24	17:51	17:42                                                                                                                                                                                                                                       
16	6	44	06:15	17:51	17:46                                                                                                                                                                                                                                       
16	7	42	06:16	17:54	17:41                                                                                                                                                                                                                                       
17	1	45	06:17	17:51	17:47                                                                                                                                                                                                                                       
17	2	43	06:18	17:49	17:43                                                                                                                                                                                                                                       
17	3	46	06:18	17:53	17:48                                                                                                                                                                                                                                       
17	4	43	06:17	17:52	17:33                                                                                                                                                                                                                                       
17	5	45	06:14	17:50	17:37                                                                                                                                                                                                                                       
17	6	44	06:14	17:51	17:26                                                                                                                                                                                                                                       
17	7	45	06:14	17:53	17:40                                                                                                                                                                                                                                       
18	1	46	06:14	17:55	17:44                                                                                                                                                                                                                                       
18	2	46	06:17	17:52	17:47                                                                                                                                                                                                                                       
18	3	45	06:12	17:53	17:43                                                                                                                                                                                                                                       
18	4	46	06:19	17:52	17:49                                                                                                                                                                                                                                       
18	5	43	06:16	17:49	17:41                                                                                                                                                                                                                                       
18	6	45	06:14	17:47	17:39                                                                                                                                                                                                                                       
18	7	46	06:18	17:54	17:48                                                                                                                                                                                                                                       
19	1	45	06:16	17:54	17:36                                                                                                                                                                                                                                       
19	2	46	06:16	17:52	17:49                                                                                                                                                                                                                                       
19	3	47	06:14	18:00	18:04                                                                                                                                                                                                                                       
19	4	46	06:17	17:55	17:52                                                                                                                                                                                                                                       
19	5	44	06:16	17:46	17:43                                                                                                                                                                                                                                       
