X;Y;id
812685;1605713;101
812686;1605680;102
812663;1605670;103
812660;1605653;104
812668;1605636;105
812660;1605614;106
812681;1605606;107
812703;1605591;108
812739;1605580;109
812779;1605584;110
812811;1605583;111
812852;1605571;112
812861;1605707;113
812764;1605702;114
812724;1605698;115
812685;1605713;116
